Name,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
오지환,SS,1985,50.96,10.85,7811,7719,6743,1069,1779,347,63,180,2792,928,282,110,822,96,16,1726,96,82,68,0.264,0.349,0.414,0.763,0.139,108.3,61.81
이병규,LF,835,17.33,-1.46,2702,2682,2232,344,621,117,11,75,985,366,30,24,398,40,7,615,40,13,19,0.278,0.394,0.441,0.835,0.128,127.5,15.87
박용택,DH,2237,58.69,-5.39,9138,9063,8139,1259,2504,441,44,213,3672,1192,313,90,793,74,49,1392,177,34,96,0.308,0.37,0.451,0.821,0.139,123.3,53.3
이병규,CF,1740,52.71,-4.84,7243,7160,6567,991,2042,370,38,161,2971,972,147,66,526,66,52,838,151,31,53,0.311,0.365,0.452,0.817,0.138,124.4,47.87
홍창기,RF,766,25.67,2.81,3234,3212,2637,507,820,135,17,17,1040,296,86,52,472,87,11,493,44,14,24,0.311,0.428,0.394,0.822,0.158,145,28.49
신민재,2B,580,8.55,-0.85,1499,1458,1265,273,368,35,15,1,436,141,106,50,171,12,1,165,20,41,10,0.291,0.378,0.345,0.723,0.187,109.2,7.7
이재원,RF,220,1.63,-0.13,575,574,509,69,113,19,2,22,202,78,12,4,46,16,4,176,6,0,4,0.222,0.304,0.397,0.701,0.12,95.6,1.5
송찬의,RF,128,-0.08,0.11,287,285,252,30,50,14,1,6,84,32,6,3,18,12,0,85,4,2,3,0.198,0.281,0.333,0.614,0.105,69,0.03
문성주,RF,509,9.47,2.52,1919,1902,1638,248,491,73,11,12,622,226,51,31,228,20,2,183,38,15,18,0.3,0.388,0.38,0.768,0.13,123.3,11.99
문보경,3B,649,18.45,-0.1,2546,2521,2187,337,631,118,13,73,994,376,29,16,295,9,10,423,50,20,35,0.289,0.37,0.455,0.825,0.134,131.3,18.35
구본혁,3B,569,1.86,2.08,1024,1002,891,129,219,33,5,5,277,97,20,10,90,15,1,137,13,21,7,0.246,0.323,0.311,0.634,0.129,74.3,3.94
이주헌,C,79,1.26,-0.48,162,160,134,22,32,5,0,4,49,12,0,0,18,8,0,32,2,2,0,0.239,0.363,0.366,0.729,0.138,115.1,0.78
최원영,LF,176,0.33,0.62,156,153,140,55,39,7,0,1,49,7,14,8,5,7,0,27,4,3,1,0.279,0.333,0.35,0.683,0.36,87.8,0.95
문정빈,RF,21,-0.05,0.16,33,33,30,5,5,0,0,2,11,4,0,0,1,2,0,11,0,0,0,0.167,0.242,0.367,0.609,0.152,57.2,0.11
김범석,DH,80,-0.46,-0.3,209,208,189,17,42,5,0,7,68,28,0,0,15,2,2,54,5,0,3,0.222,0.282,0.36,0.642,0.082,60.9,-0.75
오스틴,1B,395,15.24,-0.02,1686,1677,1472,268,464,86,8,86,824,322,22,11,175,8,15,219,31,0,31,0.315,0.384,0.56,0.944,0.16,156.6,15.22
김현종,CF,27,0.07,0.03,22,22,20,11,5,2,0,0,7,2,0,0,1,1,0,5,1,0,0,0.25,0.318,0.35,0.668,0.5,82.3,0.1
손용준,SS,9,-0.11,-0.02,16,16,15,3,3,0,0,0,3,1,1,0,0,1,0,5,2,0,0,0.2,0.25,0.2,0.45,0.188,15.6,-0.13
박관우,LF,39,0.18,-0.14,58,58,53,12,14,2,0,2,22,13,0,0,3,1,0,11,1,0,1,0.264,0.31,0.415,0.725,0.207,94.9,0.04
